observation_id,sepal_length,sepal_width,petal_length,petal_width,species,petal_area,size_category
119,7.7,2.6,6.9,2.3,virginica,15.87,large
110,7.2,3.6,6.1,2.5,virginica,15.25,large
101,6.3,3.3,6.0,2.5,virginica,15.0,large
118,7.7,3.8,6.7,2.2,virginica,14.740000000000002,large
145,6.7,3.3,5.7,2.5,virginica,14.25,large
136,7.7,3.0,6.1,2.3,virginica,14.029999999999998,large
106,7.6,3.0,6.6,2.1,virginica,13.86,large
144,6.8,3.2,5.9,2.3,virginica,13.57,large
137,6.3,3.4,5.6,2.4,virginica,13.44,large
141,6.7,3.1,5.6,2.4,virginica,13.44,large
123,7.7,2.8,6.7,2.0,virginica,13.4,large
121,6.9,3.2,5.7,2.3,virginica,13.11,large
132,7.9,3.8,6.4,2.0,virginica,12.8,large
105,6.5,3.0,5.8,2.2,virginica,12.76,large
149,6.2,3.4,5.4,2.3,virginica,12.42,large
103,7.1,3.0,5.9,2.1,virginica,12.39,large
133,6.4,2.8,5.6,2.2,virginica,12.32,large
115,5.8,2.8,5.1,2.4,virginica,12.239999999999998,large
116,6.4,3.2,5.3,2.3,virginica,12.19,large
125,6.7,3.3,5.7,2.1,virginica,11.97,large
146,6.7,3.0,5.2,2.3,virginica,11.959999999999999,large
129,6.4,2.8,5.6,2.1,virginica,11.76,large
142,6.9,3.1,5.1,2.3,virginica,11.729999999999999,large
131,7.4,2.8,6.1,1.9,virginica,11.589999999999998,large
113,6.8,3.0,5.5,2.1,virginica,11.55,large
140,6.9,3.1,5.4,2.1,virginica,11.340000000000002,large
108,7.3,2.9,6.3,1.8,virginica,11.34,large
126,7.2,3.2,6.0,1.8,virginica,10.8,large
109,6.7,2.5,5.8,1.8,virginica,10.44,large
148,6.5,3.0,5.2,2.0,virginica,10.4,large
111,6.5,3.2,5.1,2.0,virginica,10.2,large
104,6.3,2.9,5.6,1.8,virginica,10.08,large
112,6.4,2.7,5.3,1.9,virginica,10.069999999999999,large
114,5.7,2.5,5.0,2.0,virginica,10.0,large
117,6.5,3.0,5.5,1.8,virginica,9.9,large
138,6.4,3.1,5.5,1.8,virginica,9.9,large
122,5.6,2.8,4.9,2.0,virginica,9.8,large
102,5.8,2.7,5.1,1.9,virginica,9.69,large
143,5.8,2.7,5.1,1.9,virginica,9.69,large
147,6.3,2.5,5.0,1.9,virginica,9.5,large
130,7.2,3.0,5.8,1.6,virginica,9.28,large
150,5.9,3.0,5.1,1.8,virginica,9.18,large
124,6.3,2.7,4.9,1.8,virginica,8.82,large
128,6.1,3.0,4.9,1.8,virginica,8.82,large
71,5.9,3.2,4.8,1.8,versicolor,8.64,large
127,6.2,2.8,4.8,1.8,virginica,8.64,large
139,6.0,3.0,4.8,1.8,virginica,8.64,large
78,6.7,3.0,5.0,1.7,versicolor,8.5,large
84,6.0,2.7,5.1,1.6,versicolor,8.16,large
135,6.1,2.6,5.6,1.4,virginica,7.839999999999999,large
107,4.9,2.5,4.5,1.7,virginica,7.6499999999999995,large
134,6.3,2.8,5.1,1.5,virginica,7.6499999999999995,large
57,6.3,3.3,4.7,1.6,versicolor,7.5200000000000005,large
120,6.0,2.2,5.0,1.5,virginica,7.5,large
53,6.9,3.1,4.9,1.5,versicolor,7.3500000000000005,large
73,6.3,2.5,4.9,1.5,versicolor,7.3500000000000005,large
86,6.0,3.4,4.5,1.6,versicolor,7.2,large
87,6.7,3.1,4.7,1.5,versicolor,7.050000000000001,large
55,6.5,2.8,4.6,1.5,versicolor,6.8999999999999995,large
52,6.4,3.2,4.5,1.5,versicolor,6.75,large
67,5.6,3.0,4.5,1.5,versicolor,6.75,large
69,6.2,2.2,4.5,1.5,versicolor,6.75,large
79,6.0,2.9,4.5,1.5,versicolor,6.75,large
85,5.4,3.0,4.5,1.5,versicolor,6.75,large
77,6.8,2.8,4.8,1.4,versicolor,6.72,large
51,7.0,3.2,4.7,1.4,versicolor,6.58,large
64,6.1,2.9,4.7,1.4,versicolor,6.58,large
