species	feature	n	mean	median	sd	q1	q3	iqr	min	max
setosa	sepal_length	50	5.006	5.0	0.35248968721345136	4.8	5.2	0.40000000000000036	4.3	5.8
setosa	sepal_width	50	3.428	3.4	0.3790643690962886	3.2	3.6750000000000003	0.4750000000000001	2.3	4.4
setosa	petal_length	50	1.462	1.5	0.17366399648018407	1.4	1.5750000000000002	0.17500000000000027	1.0	1.9
setosa	petal_width	50	0.24599999999999994	0.2	0.10538558938004566	0.2	0.3	0.09999999999999998	0.1	0.6
setosa	petal_area	50	0.3655999999999999	0.3	0.18115457375356755	0.2799999999999999	0.42	0.14000000000000007	0.11	0.96
versicolor	sepal_length	50	5.935999999999999	5.9	0.5161711470638635	5.6	6.3	0.7000000000000002	4.9	7.0
versicolor	sepal_width	50	2.77	2.8	0.3137983233784114	2.525	3.0	0.4750000000000001	2.0	3.4
versicolor	petal_length	50	4.26	4.35	0.46991097723995795	4.0	4.6	0.5999999999999996	3.0	5.1
versicolor	petal_width	50	1.3259999999999998	1.3	0.19775268000454405	1.2	1.5	0.30000000000000004	1.0	1.8
versicolor	petal_area	50	5.720400000000001	5.615	1.3684028527253729	4.859999999999999	6.75	1.8900000000000006	3.3	8.64
virginica	sepal_length	50	6.588000000000001	6.5	0.6358795932744321	6.225	6.9	0.6750000000000007	4.9	7.9
virginica	sepal_width	50	2.9739999999999998	3.0	0.32249663817263746	2.8	3.1750000000000003	0.37500000000000044	2.2	3.8
virginica	petal_length	50	5.5520000000000005	5.55	0.5518946956639834	5.1	5.875	0.7750000000000004	4.5	6.9
virginica	petal_width	50	2.0260000000000002	2.0	0.27465005563666733	1.8	2.3	0.4999999999999998	1.4	2.5
virginica	petal_area	50	11.2962	11.445	2.1574123672698686	9.7175	12.790000000000001	3.0725000000000016	7.5	15.87
