observation_id	species	size_category	measurement	value
119	virginica	large	sepal_length	7.7
110	virginica	large	sepal_length	7.2
101	virginica	large	sepal_length	6.3
118	virginica	large	sepal_length	7.7
145	virginica	large	sepal_length	6.7
136	virginica	large	sepal_length	7.7
106	virginica	large	sepal_length	7.6
144	virginica	large	sepal_length	6.8
137	virginica	large	sepal_length	6.3
141	virginica	large	sepal_length	6.7
123	virginica	large	sepal_length	7.7
121	virginica	large	sepal_length	6.9
132	virginica	large	sepal_length	7.9
105	virginica	large	sepal_length	6.5
149	virginica	large	sepal_length	6.2
103	virginica	large	sepal_length	7.1
133	virginica	large	sepal_length	6.4
115	virginica	large	sepal_length	5.8
116	virginica	large	sepal_length	6.4
125	virginica	large	sepal_length	6.7
146	virginica	large	sepal_length	6.7
129	virginica	large	sepal_length	6.4
142	virginica	large	sepal_length	6.9
131	virginica	large	sepal_length	7.4
113	virginica	large	sepal_length	6.8
140	virginica	large	sepal_length	6.9
108	virginica	large	sepal_length	7.3
126	virginica	large	sepal_length	7.2
109	virginica	large	sepal_length	6.7
148	virginica	large	sepal_length	6.5
111	virginica	large	sepal_length	6.5
104	virginica	large	sepal_length	6.3
112	virginica	large	sepal_length	6.4
114	virginica	large	sepal_length	5.7
117	virginica	large	sepal_length	6.5
138	virginica	large	sepal_length	6.4
122	virginica	large	sepal_length	5.6
102	virginica	large	sepal_length	5.8
143	virginica	large	sepal_length	5.8
147	virginica	large	sepal_length	6.3
130	virginica	large	sepal_length	7.2
150	virginica	large	sepal_length	5.9
124	virginica	large	sepal_length	6.3
128	virginica	large	sepal_length	6.1
71	versicolor	large	sepal_length	5.9
127	virginica	large	sepal_length	6.2
139	virginica	large	sepal_length	6.0
78	versicolor	large	sepal_length	6.7
84	versicolor	large	sepal_length	6.0
135	virginica	large	sepal_length	6.1
107	virginica	large	sepal_length	4.9
134	virginica	large	sepal_length	6.3
57	versicolor	large	sepal_length	6.3
120	virginica	large	sepal_length	6.0
53	versicolor	large	sepal_length	6.9
73	versicolor	large	sepal_length	6.3
86	versicolor	large	sepal_length	6.0
87	versicolor	large	sepal_length	6.7
55	versicolor	large	sepal_length	6.5
52	versicolor	large	sepal_length	6.4
67	versicolor	large	sepal_length	5.6
69	versicolor	large	sepal_length	6.2
79	versicolor	large	sepal_length	6.0
85	versicolor	large	sepal_length	5.4
77	versicolor	large	sepal_length	6.8
51	versicolor	large	sepal_length	7.0
64	versicolor	large	sepal_length	6.1
92	versicolor	large	sepal_length	6.1
62	versicolor	large	sepal_length	5.9
66	versicolor	large	sepal_length	6.7
76	versicolor	large	sepal_length	6.6
59	versicolor	large	sepal_length	6.6
56	versicolor	large	sepal_length	5.7
88	versicolor	large	sepal_length	6.3
74	versicolor	large	sepal_length	6.1
75	versicolor	small	sepal_length	6.4
98	versicolor	small	sepal_length	6.2
95	versicolor	small	sepal_length	5.6
97	versicolor	small	sepal_length	5.7
60	versicolor	small	sepal_length	5.2
89	versicolor	small	sepal_length	5.6
100	versicolor	small	sepal_length	5.7
91	versicolor	small	sepal_length	5.5
54	versicolor	small	sepal_length	5.5
72	versicolor	small	sepal_length	6.1
90	versicolor	small	sepal_length	5.5
96	versicolor	small	sepal_length	5.7
93	versicolor	small	sepal_length	5.8
65	versicolor	small	sepal_length	5.6
83	versicolor	small	sepal_length	5.8
70	versicolor	small	sepal_length	5.6
81	versicolor	small	sepal_length	5.5
68	versicolor	small	sepal_length	5.8
63	versicolor	small	sepal_length	6.0
82	versicolor	small	sepal_length	5.5
61	versicolor	small	sepal_length	5.0
80	versicolor	small	sepal_length	5.7
99	versicolor	small	sepal_length	5.1
58	versicolor	small	sepal_length	4.9
94	versicolor	small	sepal_length	5.0
44	setosa	small	sepal_length	5.0
24	setosa	small	sepal_length	5.1
45	setosa	small	sepal_length	5.1
6	setosa	small	sepal_length	5.4
27	setosa	small	sepal_length	5.0
16	setosa	small	sepal_length	5.7
22	setosa	small	sepal_length	5.1
32	setosa	small	sepal_length	5.4
17	setosa	small	sepal_length	5.4
19	setosa	small	sepal_length	5.7
20	setosa	small	sepal_length	5.1
7	setosa	small	sepal_length	4.6
18	setosa	small	sepal_length	5.1
46	setosa	small	sepal_length	4.8
41	setosa	small	sepal_length	5.0
42	setosa	small	sepal_length	4.5
25	setosa	small	sepal_length	4.8
21	setosa	small	sepal_length	5.4
12	setosa	small	sepal_length	4.8
26	setosa	small	sepal_length	5.0
30	setosa	small	sepal_length	4.7
31	setosa	small	sepal_length	4.8
47	setosa	small	sepal_length	5.1
4	setosa	small	sepal_length	4.6
8	setosa	small	sepal_length	5.0
11	setosa	small	sepal_length	5.4
28	setosa	small	sepal_length	5.2
35	setosa	small	sepal_length	4.9
40	setosa	small	sepal_length	5.1
49	setosa	small	sepal_length	5.3
1	setosa	small	sepal_length	5.1
2	setosa	small	sepal_length	4.9
5	setosa	small	sepal_length	5.0
9	setosa	small	sepal_length	4.4
29	setosa	small	sepal_length	5.2
34	setosa	small	sepal_length	5.5
48	setosa	small	sepal_length	4.6
50	setosa	small	sepal_length	5.0
3	setosa	small	sepal_length	4.7
37	setosa	small	sepal_length	5.5
39	setosa	small	sepal_length	4.4
43	setosa	small	sepal_length	4.4
15	setosa	small	sepal_length	5.8
36	setosa	small	sepal_length	5.0
23	setosa	small	sepal_length	4.6
10	setosa	small	sepal_length	4.9
33	setosa	small	sepal_length	5.2
13	setosa	small	sepal_length	4.8
38	setosa	small	sepal_length	4.9
14	setosa	small	sepal_length	4.3
119	virginica	large	sepal_width	2.6
110	virginica	large	sepal_width	3.6
101	virginica	large	sepal_width	3.3
118	virginica	large	sepal_width	3.8
145	virginica	large	sepal_width	3.3
136	virginica	large	sepal_width	3.0
106	virginica	large	sepal_width	3.0
144	virginica	large	sepal_width	3.2
137	virginica	large	sepal_width	3.4
141	virginica	large	sepal_width	3.1
123	virginica	large	sepal_width	2.8
121	virginica	large	sepal_width	3.2
132	virginica	large	sepal_width	3.8
105	virginica	large	sepal_width	3.0
149	virginica	large	sepal_width	3.4
103	virginica	large	sepal_width	3.0
133	virginica	large	sepal_width	2.8
115	virginica	large	sepal_width	2.8
116	virginica	large	sepal_width	3.2
125	virginica	large	sepal_width	3.3
146	virginica	large	sepal_width	3.0
129	virginica	large	sepal_width	2.8
142	virginica	large	sepal_width	3.1
131	virginica	large	sepal_width	2.8
113	virginica	large	sepal_width	3.0
140	virginica	large	sepal_width	3.1
108	virginica	large	sepal_width	2.9
126	virginica	large	sepal_width	3.2
109	virginica	large	sepal_width	2.5
148	virginica	large	sepal_width	3.0
111	virginica	large	sepal_width	3.2
104	virginica	large	sepal_width	2.9
112	virginica	large	sepal_width	2.7
114	virginica	large	sepal_width	2.5
117	virginica	large	sepal_width	3.0
138	virginica	large	sepal_width	3.1
122	virginica	large	sepal_width	2.8
102	virginica	large	sepal_width	2.7
143	virginica	large	sepal_width	2.7
147	virginica	large	sepal_width	2.5
130	virginica	large	sepal_width	3.0
150	virginica	large	sepal_width	3.0
124	virginica	large	sepal_width	2.7
128	virginica	large	sepal_width	3.0
71	versicolor	large	sepal_width	3.2
127	virginica	large	sepal_width	2.8
139	virginica	large	sepal_width	3.0
78	versicolor	large	sepal_width	3.0
84	versicolor	large	sepal_width	2.7
135	virginica	large	sepal_width	2.6
107	virginica	large	sepal_width	2.5
134	virginica	large	sepal_width	2.8
57	versicolor	large	sepal_width	3.3
120	virginica	large	sepal_width	2.2
53	versicolor	large	sepal_width	3.1
73	versicolor	large	sepal_width	2.5
86	versicolor	large	sepal_width	3.4
87	versicolor	large	sepal_width	3.1
55	versicolor	large	sepal_width	2.8
52	versicolor	large	sepal_width	3.2
67	versicolor	large	sepal_width	3.0
69	versicolor	large	sepal_width	2.2
79	versicolor	large	sepal_width	2.9
85	versicolor	large	sepal_width	3.0
77	versicolor	large	sepal_width	2.8
51	versicolor	large	sepal_width	3.2
64	versicolor	large	sepal_width	2.9
92	versicolor	large	sepal_width	3.0
62	versicolor	large	sepal_width	3.0
66	versicolor	large	sepal_width	3.1
76	versicolor	large	sepal_width	3.0
59	versicolor	large	sepal_width	2.9
56	versicolor	large	sepal_width	2.8
88	versicolor	large	sepal_width	2.3
74	versicolor	large	sepal_width	2.8
75	versicolor	small	sepal_width	2.9
98	versicolor	small	sepal_width	2.9
95	versicolor	small	sepal_width	2.7
97	versicolor	small	sepal_width	2.9
60	versicolor	small	sepal_width	2.7
89	versicolor	small	sepal_width	3.0
100	versicolor	small	sepal_width	2.8
91	versicolor	small	sepal_width	2.6
54	versicolor	small	sepal_width	2.3
72	versicolor	small	sepal_width	2.8
90	versicolor	small	sepal_width	2.5
96	versicolor	small	sepal_width	3.0
93	versicolor	small	sepal_width	2.6
65	versicolor	small	sepal_width	2.9
83	versicolor	small	sepal_width	2.7
70	versicolor	small	sepal_width	2.5
81	versicolor	small	sepal_width	2.4
68	versicolor	small	sepal_width	2.7
63	versicolor	small	sepal_width	2.2
82	versicolor	small	sepal_width	2.4
61	versicolor	small	sepal_width	2.0
80	versicolor	small	sepal_width	2.6
99	versicolor	small	sepal_width	2.5
58	versicolor	small	sepal_width	2.4
94	versicolor	small	sepal_width	2.3
44	setosa	small	sepal_width	3.5
24	setosa	small	sepal_width	3.3
45	setosa	small	sepal_width	3.8
6	setosa	small	sepal_width	3.9
27	setosa	small	sepal_width	3.4
16	setosa	small	sepal_width	4.4
22	setosa	small	sepal_width	3.7
32	setosa	small	sepal_width	3.4
17	setosa	small	sepal_width	3.9
19	setosa	small	sepal_width	3.8
20	setosa	small	sepal_width	3.8
7	setosa	small	sepal_width	3.4
18	setosa	small	sepal_width	3.5
46	setosa	small	sepal_width	3.0
41	setosa	small	sepal_width	3.5
42	setosa	small	sepal_width	2.3
25	setosa	small	sepal_width	3.4
21	setosa	small	sepal_width	3.4
12	setosa	small	sepal_width	3.4
26	setosa	small	sepal_width	3.0
30	setosa	small	sepal_width	3.2
31	setosa	small	sepal_width	3.1
47	setosa	small	sepal_width	3.8
4	setosa	small	sepal_width	3.1
8	setosa	small	sepal_width	3.4
11	setosa	small	sepal_width	3.7
28	setosa	small	sepal_width	3.5
35	setosa	small	sepal_width	3.1
40	setosa	small	sepal_width	3.4
49	setosa	small	sepal_width	3.7
1	setosa	small	sepal_width	3.5
2	setosa	small	sepal_width	3.0
5	setosa	small	sepal_width	3.6
9	setosa	small	sepal_width	2.9
29	setosa	small	sepal_width	3.4
34	setosa	small	sepal_width	4.2
48	setosa	small	sepal_width	3.2
50	setosa	small	sepal_width	3.3
3	setosa	small	sepal_width	3.2
37	setosa	small	sepal_width	3.5
39	setosa	small	sepal_width	3.0
43	setosa	small	sepal_width	3.2
15	setosa	small	sepal_width	4.0
36	setosa	small	sepal_width	3.2
23	setosa	small	sepal_width	3.6
10	setosa	small	sepal_width	3.1
33	setosa	small	sepal_width	4.1
13	setosa	small	sepal_width	3.0
38	setosa	small	sepal_width	3.6
